,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Kenya","2016","18+  years","15.4 [13.1-17.8]","13.9 [11.8-16.0]","16.9 [14.3-19.5]","14.2 [12.0-16.4]","12.7 [10.8-14.6]","15.7 [13.3-18.2]"
"Kiribati","2016","18+  years","40.4 [31.2-50.2]","34.5 [26.3-43.7]","45.8 [35.8-56.2]","38.3 [29.4-48.1]","31.9 [24.1-40.9]","44.3 [34.4-54.7]"
"Kuwait","2016","18+  years","67.0 [58.6-74.3]","61.3 [52.8-69.2]","74.6 [66.6-81.3]","65.3 [56.7-72.9]","59.7 [51.0-67.8]","72.8 [64.5-79.8]"
"Kyrgyzstan","2016","18+  years","13.9 [9.1-20.5]","10.9 [7.2-16.0]","16.7 [10.9-24.8]","13.3 [8.7-19.7]","10.1 [6.7-14.9]","16.2 [10.6-24.1]"
"Lao People's Democratic Republic","2016","18+  years","16.3 [12.3-20.3]","11.7 [10.0-13.4]","20.6 [14.4-26.9]","15.0 [11.2-18.8]","10.5 [9.0-11.9]","19.4 [13.3-25.5]"
"Latvia","2016","18+  years","29.5 [22.8-37.3]","25.4 [19.6-32.1]","32.9 [25.3-41.5]","32.0 [24.9-40.0]","26.8 [20.8-33.7]","36.2 [28.2-45.0]"
"Lebanon","2016","18+  years","36.4 [28.3-45.4]","39.8 [31.5-48.7]","33.0 [25.0-42.0]","36.2 [28.1-45.1]","39.5 [31.3-48.4]","32.8 [24.9-41.8]"
"Lesotho","2016","18+  years","6.3 [4.5-8.6]","6.5 [4.9-8.7]","6.0 [4.2-8.6]","5.9 [4.2-8.1]","5.8 [4.4-7.8]","5.9 [4.1-8.4]"
"Liberia","2016","18+  years","25.1 [19.8-31.3]","21.7 [17.1-27.2]","28.5 [22.4-35.5]","23.5 [18.4-29.5]","19.9 [15.5-25.1]","27.0 [21.2-33.8]"
"Libya","2016","18+  years","36.4 [28.0-45.7]","31.2 [23.9-39.6]","41.5 [32.0-51.7]","34.4 [26.2-43.5]","29.0 [21.9-37.1]","39.7 [30.4-49.8]"
"Lithuania","2016","18+  years","26.5 [20.5-33.6]","23.2 [18.0-29.3]","29.2 [22.5-37.1]","29.0 [22.6-36.3]","24.6 [19.2-31.0]","32.6 [25.4-40.7]"
"Luxembourg","2016","18+  years","28.4 [22.7-34.9]","26.4 [21.3-32.3]","30.4 [24.1-37.6]","29.9 [24.0-36.5]","27.7 [22.4-33.7]","32.1 [25.6-39.3]"
"Madagascar","2016","18+  years","17.2 [13.2-22.0]","12.8 [9.8-16.6]","21.4 [16.5-27.3]","15.9 [12.1-20.5]","11.5 [8.8-15.0]","20.1 [15.4-25.8]"
"Malawi","2016","18+  years","15.6 [13.3-17.9]","13.0 [11.3-14.7]","18.2 [15.3-21.0]","14.5 [12.3-16.6]","11.9 [10.3-13.4]","17.0 [14.3-19.7]"
"Malaysia","2016","18+  years","38.8 [29.7-48.6]","34.6 [26.6-43.6]","42.8 [32.7-53.5]","37.7 [28.8-47.6]","33.6 [25.7-42.6]","41.8 [31.8-52.5]"
"Maldives","2016","18+  years","30.3 [22.0-40.1]","25.8 [18.5-34.6]","34.8 [25.4-45.5]","28.7 [20.6-38.3]","23.9 [17.0-32.4]","33.4 [24.2-44.0]"
"Mali","2016","18+  years","40.4 [33.6-47.3]","33.7 [27.6-39.8]","47.1 [39.5-54.7]","39.6 [33.0-46.2]","32.9 [27.1-38.7]","46.3 [38.8-53.7]"
"Malta","2016","18+  years","41.7 [33.6-50.3]","36.2 [28.9-44.2]","47.2 [38.3-56.4]","44.1 [35.8-52.6]","38.3 [30.7-46.4]","49.8 [40.9-58.8]"
"Marshall Islands","2016","18+  years","43.5 [33.8-53.7]","37.0 [28.3-46.7]","50.0 [39.3-60.8]","47.3 [37.3-57.4]","41.0 [31.8-50.8]","53.5 [42.8-64.0]"
"Mauritania","2016","18+  years","41.3 [33.4-49.2]","36.5 [29.2-43.9]","46.1 [37.7-54.4]","39.5 [31.7-47.3]","34.3 [27.1-41.5]","44.7 [36.3-53.0]"
"Mauritius","2016","18+  years","29.8 [22.8-37.8]","27.6 [21.2-35.1]","31.8 [24.3-40.5]","29.1 [22.2-37.1]","26.6 [20.3-33.9]","31.4 [23.9-40.0]"
"Mexico","2016","18+  years","28.9 [23.0-35.6]","25.5 [20.3-31.4]","32.2 [25.5-39.7]","28.4 [22.5-35.0]","24.7 [19.7-30.6]","31.9 [25.2-39.4]"
"Micronesia (Federated States of)","2016","18+  years","36.6 [28.2-46.0]","32.9 [25.3-41.6]","40.5 [31.2-50.5]","35.7 [27.3-45.0]","32.3 [24.7-40.9]","39.2 [30.0-49.2]"
"Monaco","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Mongolia","2016","18+  years","18.6 [13.9-24.4]","17.8 [13.6-22.9]","19.4 [14.3-25.8]","17.3 [12.9-22.8]","16.1 [12.2-20.9]","18.4 [13.5-24.6]"
"Montenegro","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Morocco","2016","18+  years","26.2 [18.6-35.4]","20.7 [14.5-28.8]","31.4 [22.6-41.7]","25.4 [18.0-34.5]","19.9 [13.8-27.8]","30.6 [22.0-40.8]"
"Mozambique","2016","18+  years","5.6 [4.1-7.6]","5.0 [3.7-6.8]","6.0 [4.4-8.2]","5.1 [3.7-6.9]","4.5 [3.3-6.1]","5.6 [4.1-7.7]"
"Myanmar","2016","18+  years","10.7 [7.5-15.0]","8.1 [5.8-11.3]","13.1 [9.2-18.5]","10.4 [7.3-14.6]","7.7 [5.5-10.8]","12.8 [8.9-18.1]"
"Namibia","2016","18+  years","33.4 [26.4-41.1]","28.9 [23.0-35.6]","37.4 [29.5-46.1]","31.4 [24.7-39.0]","26.5 [20.9-33.0]","35.8 [28.1-44.4]"
"Nauru","2016","18+  years","42.1 [31.7-53.3]","34.9 [25.8-45.3]","49.4 [37.6-61.3]","45.9 [35.1-57.0]","39.4 [29.6-50.0]","52.4 [40.6-64.0]"
"Nepal","2016","18+  years","13.4 [11.2-15.6]","12.0 [9.5-14.5]","14.6 [12.7-16.5]","12.6 [10.5-14.7]","11.2 [8.7-13.7]","13.8 [12.1-15.6]"
"Netherlands","2016","18+  years","27.2 [21.6-33.5]","25.3 [20.3-31.0]","29.0 [22.9-36.0]","29.5 [23.6-36.0]","27.4 [22.1-33.4]","31.4 [25.0-38.6]"
"New Zealand","2016","18+  years","42.4 [35.3-49.8]","39.3 [32.8-46.1]","45.3 [37.6-53.2]","44.6 [37.4-52.0]","41.4 [34.8-48.3]","47.6 [39.9-55.4]"
"Nicaragua","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Niger","2016","18+  years","22.4 [16.5-29.6]","19.7 [14.3-26.5]","25.0 [18.7-32.6]","21.0 [15.4-27.9]","18.2 [13.1-24.7]","23.7 [17.6-31.1]"
"Nigeria","2016","18+  years","27.1 [21.5-33.5]","24.7 [19.5-30.8]","29.6 [23.7-36.3]","24.7 [19.5-30.8]","22.3 [17.4-28.0]","27.2 [21.6-33.6]"
"Niue","2016","18+  years","6.9 [4.8-9.9]","7.8 [5.4-11.0]","6.0 [4.1-8.8]","8.3 [5.8-11.8]","9.4 [6.6-13.2]","7.2 [4.9-10.4]"
"Norway","2016","18+  years","31.7 [25.4-38.7]","29.6 [23.9-36.0]","33.8 [27.0-41.4]","33.6 [27.1-40.8]","31.3 [25.4-37.9]","36.0 [28.9-43.7]"
"Oman","2016","18+  years","32.9 [25.2-41.8]","30.0 [22.8-38.4]","40.2 [31.1-50.0]","30.6 [23.1-39.2]","27.5 [20.6-35.6]","38.2 [29.3-48.0]"
"Pakistan","2016","18+  years","33.7 [20.3-47.0]","24.4 [13.7-35.1]","43.3 [27.1-59.5]","32.3 [19.1-45.5]","23.0 [12.7-33.4]","41.9 [25.6-58.1]"
"Palau","2016","18+  years","40.9 [31.1-51.3]","28.3 [20.4-37.8]","53.5 [41.9-64.7]","44.8 [34.7-55.3]","32.8 [24.1-42.9]","56.9 [45.4-67.7]"
"Panama","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Papua New Guinea","2016","18+  years","14.8 [9.7-21.9]","11.4 [7.5-17.0]","18.2 [11.8-26.9]","13.5 [8.8-20.2]","10.1 [6.6-15.2]","17.0 [11.0-25.4]"
"Paraguay","2016","18+  years","37.4 [28.9-45.9]","38.1 [29.6-46.5]","36.8 [28.2-45.3]","36.5 [28.0-45.0]","36.9 [28.4-45.3]","36.1 [27.5-44.6]"
"Peru","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Philippines","2016","18+  years","39.7 [31.3-48.6]","30.1 [23.4-37.9]","49.1 [39.1-59.1]","38.2 [30.0-47.1]","28.3 [21.7-35.9]","48.0 [38.1-58.1]"
